title,categories,disposals,description,warnings
Reste aus dem 3D-Drucker,Restabfall,Restabfalltonne,Reste aus dem 3D-Drucker gelten als Verbundgemisch und können über den Restabfall entsorgt werden. ,
Restabfall,Restabfall,Restabfalltonne,"Nach dem Aussortieren von Wertstoffen (z.B. Papier oder Glas), Bio-, Bau- (z. B. Steine) und Sonderabfällen bleibt noch der so genannte Restabfall, der in die Restabfalltonne gehört, wie z. B. Asche, Essensreste, Brot- und Kuchenreste, Fleisch- und Fischreste, Glühlampen, Kehricht usw. übrig. Zur Grillzeit gehört Grillkohle (vollständig ausgeglüht), Schaschlikspieße, Streichhölzer, Feuerzeuge (wenn sie leer sind) und Servietten in die Restabfalltonne.Wenn gelegentlich mehr Abfall anfällt, können Sie beim Wertstoffhof oder online einen Zusatzsack kaufen. Stellen Sie diesen am Leerungstag einfach zu dem Restabfallbehälter - wir nehmen ihn mit.",
Reinigungsmittel,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Reifen,Wertstoff,Wertstoffhof,"Abgenutzte PKW-Reifen nimmt der Reifenfachhandel zurück.Ist eine Rückgabe über den Handel nicht möglich, werden maximal bis zu 5 PKW- oder Motorradreifen (ohne Felgen, professionell von der Felge getrennt und nicht zerschnitten!) an den Wertstoffhöfen und den Deponien kostenlos angenommen. Die Felgen können Sie separat kostenlos an den Wertstoffhöfen abgeben.Sollten Sie doch einmal beschädigte (zerschnittene, geplatzte oder löchrige) Reifen entsorgen wollen, können Sie täglich bis zu 5 beschädigte Reifen kostenlos auf den drei Deponien der Region Hannover abgeben. Bitte beachten Sie dass, beschädigte Reifen nicht auf den Wertstoffhöfen angenommen werden.Maximal 5 Reifen auf Felge können Sie auf der Deponie Lahe zu 1,15 € je Stück entsorgen.LKW-Reifen und Reifen von landwirtschaftlichen Nutzfahrzeugen, wie auch spezielle Reifen von Sonderfahrzeugen (z.B. Rennwagen, Baufahrzeuge, etc.) können nur über den Reifenfachhandel entsorgt werden, nicht auf den Wertstoffhöfen und den Deponien.Fahrradreifen können Sie über Ihren Restabfall entsorgen.",
Regal,Sperrabfall,"Wertstoffhof,Sperrabfallabholung","Wertstoffhof: Je nachdem aus welchem Material muss es den möglichen Abfallarteb (Holz, Metall) zugeordnet werden. ",
Recupbecher/ wiederverwendbare Kaffeebecher,,Restabfalltonne,Ausgediente Recupbecher können bei den jeweiligen Tauschstellen zurückgegeben werden oder bei starken Beschädigungen oder Verschmutzungen über die Restabfalltonne entsorgt werden.,
Rauchmelder,Elektrogeräte,Wertstoffhof,"Optische und thermische Rauchmelder fallen mit unter die Rubrik Elektroschrott. Sie können auf den Wertstoffhöfen abgegeben werden. Ionisationsrauchmelder, auch I-Melder genannt, fallen unter die Strahlenschutzverordnung, weil sie Americium-241 enthalten. Annahmestellen sind beim Umweltministerium zu erfragen.",
Rasierapparat,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
Rasensoden / Grassoden,,Deponie,"Wenn die Grassoden vom Boden getrennt werden, können Sie die pflanzlichen Anteile über den Grünabfall entsorgen. Der Bodenanteil muss auf den Wertstoffhöfen der Deponien entsorgt werden. Wenn die Grassode mit einer Schälmaschine abgetrennt wurde, kann diese Fraktion nur auf der Deponie in Lahe angenommen werden. Täglich werden auf den drei Deponien bis zu 1 m³ an Grassoden kostenfrei entgegengenommen.",
Rasenschnitt,Bioabfall,"Wertstoffhof,Biotonne,Deponie","Bei den Wertstoffhöfen werden diese Abfälle aus Privathaushalten in einer Anlieferung pro Kalendertag bis zu einer Gesamtmenge von insgesamt 1 m³ kostenlos angenommen.Wenn gelegentlich mehr Abfall entsteht, kann er im Kompostwerk der Deponien kostenpflichtig angeliefert werden.",
Rasenmäher,Elektrogeräte,"Wertstoffhof,Abholung Elektrogeräte","Rasenmäher mit elektrischem Antrieb sind Elektroschrott. Elektrogeräte, deren Kantenlänge 50 cm überschreiten, gehören zu den Elektrogroßgeräten. Diese können Sie auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben (max. 2 Großgeräte pro Tag). Elektro-Kleingeräte können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Rasenmäher mit Benzinmotor (ohne Betriebsflüssigkeiten!) können an den Wertstoffhöfen kostenlos als Schrott abgegeben werden. Die Sperrmüllabfuhr nimmt Rasenmäher nicht mit, da beim Pressvorgang Betriebsstoffe auslaufen können.    ",
Radträger für Anhängerkupplungen,Elektrogeräte,"Wertstoffhof,Deponie","Radträger für Anhängekupplungen zählen auf Grund der eingebauten Elektronikteile zu den Großelektronikgeräten. Sie können kostenfrei auf den Deponien Hannover (Lahe), Burgdorf und Kolenfeld, sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden (max. 2 Großgeräte pro Tag).",
Radio,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
Radiatoren,,,"Haushaltsübliche Mengen Ihrer Elektroheizkörper können als Elektroschrott auf den Deponien und Wertstoffhöfen der Region Hannover abgegeben werden. Wichtig ist, dass Heizkörper mit einer Kantenlänge von über 50 cm nur auf den Annahmestellen für Großgeräte angenommen werden können. Eine Liste der Standorte, die kleine und große Elektronikabfälle annehmen, finden Sie hier.Bitte beachten Sie, dass täglich nur bis zu 2 zwei Großgeräte abgegeben werden dürfen. Größere Mengen können Sie kostenpflichtig auf den Deponien in Lahe und Burgdorf entsorgen. Auf Wunsch holen wir Großgeräte auch bei Ihnen zu Hause ab. Eine Entsorgungsplakette bekommen Sie gegen Gebühr auf unseren Wertstoffhöfen. Anschließend können Sie beim aha-Service unter (0800) 999 11 99 einen Abholtermin vereinbaren. Dabei kann auch eine Bezahlung per Rechnung vereinbart werden.",
Lithium-Akkus,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Gültig ab dem 01.01.2026 Batteriekategorie Gerätebatterien und -akkus (bis zu einer Größe von 500g je Stück)aha nimmt Gerätebatterien, z. B. aus Taschenlampen, Uhren, Radios usw. in haushaltsüblichen Kleinmengen an. Diese Batterien können Sie täglich kostenlos auf den Wertstoffhöfen der Region Hannover, den Wertstoffhöfen auf den Deponien in Burgdorf und Kolenfeld oder im Sonderabfallzwischenlager der Deponie Hannover abgeben. Diese Batterien werden auch im Fachhandel zurückgenommen. Hinweis: Bitte kleben Sie vor der Abgabe die beiden Pole der lithiumhaltigen Batterien mit Klebestreifen ab. Es werden nur lithiumhaltige Batterien angenommen, bei denen durch das Abkleben beider Pole mit einem Klebestreifen die Auslösung eines Brandes verringert wird. Batteriekategorie Gerätebatterien und -akkus (über 500g bis 5 kg je Stück) und LV- Batterien (bis 25kg je Stück)Ausgediente Akkus aus Geräten und leichten Verkehrsmitteln (LV), von E-Bikes, E-Scootern und Motorrädern, werden nur auf der Deponie Hannover im Sonderabfallzwischenlager Lahe entgegengenommen.Diese Batterien müssen auch im Fachhandel zurückgenommen werden. Hinweis: Bitte kleben Sie vor der Abgabe die beiden Pole der Batterien mit Klebestreifen ab. Es werden nur Batterien angenommen, bei denen durch das Abkleben beider Pole mit einem Klebestreifen die Auslösung eines Brandes verringert wird.  Batteriekategorie StarterbatterienNur Starterbatterien auf Bleibasis von PKW, LKW sowie Motorrädern können Sie kostenlos auf den Wertstoffhöfen der Region Hannover oder der Deponie Hannover im Sonderabfallzwischenlager abgeben.Diese Batterien müssen auch im Fachhandel zurückgenommen werden.Insbesondere lithiumhaltige Starterbatterien können weder auf den Wertstoffhöfen der Region Hannover noch der Deponie Hannover im Sonderabfallzwischenlager abgegeben werden. Bitte geben Sie diese an den Fachhandel zurück. Batteriekategorien Elektrofahrzeugbatterien und IndustriebatterienIndustrie- und Elektrofahrzeugbatterien werden von aha nicht angenommen. Bitte geben Sie diese an den Fachhandel zurück. Dazu gehören auch Gerätebatterien größer 5kg je Stück und LV-Batterien größer 25kg je Stück, wenn es sich nicht um eine Starterbatterie handelt.  ",
Linoleum,"Wertstoff,Sperrabfall",Deponie,"Bis zu 1m³ an Linoleum aus dem Privathaushalt, können Sie täglich kostenlos auf den Wertstoffhöfen oder Deponien im Sperrabfallcontainer entsorgen.",
Lichterkette,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
"Leuchtstofflampen, -röhren",Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Leitungsmasten,,"Deponie,Deponie Hannover Lahe",Bis zu 1 m³ (Gesamtmenge/ haushaltsübliche Mengen) ihrer behandelten Holzabfälle täglich können Sie kostenlos auf den Deponien Lahe und Kolenfeld der Region Hannover abgeben. Größere Mengen können Sie ebenfalls kostenpflichtig dort abgeben. Bitte beachten Sie hierzu die Preisliste für die Deponieanlieferung. Die Annahmebedingungen unserer Deponien und Wertstoffhöfe finden Sie hier (Deponien) und hier (Wertstoffhöfe).,
Leinölfirnis,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Leichtverpackungen,Leichtverpackungen,Gelbe Tonne,"Leichtverpackungen (LVP) sind Verkaufsverpackungen aus Kunststoffen, Metallen oder Materialverbunden. Zu den Leichtverpackungen gehören z. B. Joghurtbecher, Kunststoffflaschen und -folien. Leichtverpackungen werden im Stadtgebiet von Hannover und in der Region Hannover in der kostenfreien gelben Tonne gesammelt, anschließend sortiert und einer Verwertung zugeführt.Wichtiger Hinweis: Die Firma Remondis ist für die Leerung der gelben Tonne im Regionsgebiet zuständig und nicht aha. ",
Lehmschlag,,Deponie,"Lehmschlag ohne Verunreinigungen (Stroh, Bauschutt, Styropor usw.) wird auf allen drei Deponien der Region Hannover angenommen, an den Standorten Burgdorf und Lahe als Bodenaushub und in Kolenfeld als Sperrabfall.Vermischter Lehmschlag kann auf den drei Deponien über den Sperrabfallcontainer entsorgt werden.",
Lehmputz,,Deponie,"Bis zu 1m³ an Deckenputz mit Strohanteil kann kostenfrei auf den drei Deponien der Region Hannover abgeben und über den Sperrabfallcontainer entsorgt werden.Sollten Sie größere Mengen an Deckenputz mit Strohanteil entsorgen wollen, können Sie dies kostenpflichtig ebenfalls auf den drei Deponien der Region Hannover tun.",
Lavasubstrat,,Restabfalltonne,"Kleine Mengen Blähton (Erdersatz) aus privaten Haushalten, die beim Umtopfen von Pflanzen anfallen, können über den Restabfallbehälter entsorgt werden.",
LED-Lampen und -Leuchten,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
Lautsprecherbox,Elektrogeräte,Wertstoffhof,"Lautsprecherboxen werden je nach Größe als Sperrabfall oder Restmüll entsorgt, ausgebaute Lautsprecher werden als Elektro-Kleingerät kostenlos an den Wertstoffhöfen angenommen.",
Laugen,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Laub (befallen von Eichenprozessionsspinner),,,"Laub welches von Eichenprozessionsspinnern befallen ist ,sollte gut verpackt über den Restabfallbehälter entsorgt werden. Größere Mengen können kostenpflichtig an den Deponien der Region Hannover abgeben. Bitte beachten Sie hierzu die Preisliste für die Deponieanlieferung unter folgendem Link: aha Zweckverband Abfallwirtschaft Region Hannover: Abfallbehandlung und DeponienHier finden Sie die Annahmebedingungen unserer Wertstoffhofe, hier die der Deponien. ",
Laufbänder,,"Wertstoffhof,Deponie","Abgabe von Elektrogeräten:Am 1.12.2018 traten Anpassungen des Elektro- und Elektronikgesetzes inkraft, die Änderungen bei der Annahme von Elektrogeräten erforderten. Die Sammlung der Elektrogeräte muss in verschiedenen Gruppen in getrennten Containern erfolgen. Die Bereitstellung dieser Container erfordert zusätzlichen Platz auf den Wertstoffhöfen. Da dieser nicht überall zur Verfügung steht, können Elektro-Großgeräte (wie Waschmaschine oder Kühlschrank) seit Dezember 2018 nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden (max. 2 Großgeräte pro Tag). Elektro-Kleingeräte können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Pro Tag können zwei Großgeräte und eine haushaltsübliche Menge an Kleingeräten abgegeben werden, größere Mengen nehmen nur die Deponien in Burgdorf und Wunstorf an.Bitte denken Sie daran, vor der Entsorgung ggf. Ihre persönlichen Daten zu löschen.Abholung von Elektrogeräten:Zuerst ist eine Terminanmeldung beim aha-Service, Tel: 0800 999 11 99 erforderlich, dabei kann auch eine Zahlung auf Rechnung vereinbart werden. aha holt dann Großgeräte vor dem Grundstück ab. Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab. Kostenpflichtige Plaketten gibt es auf den Wertstoffhöfen und bei vielen Bürgerbüros.",
Latexfarbe,"Sonderabfall,Restabfall,Wertstoff","Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Binderfarben sind wasserlöslich und zählen nicht zu den gefährlichen Abfällen, verursachen uneingedickt allerding böse Flecken. Eingetrocknete oder eingedickte (mit Sand, Gips oder Sägespäne vermischte Binderfarbe) können dem Restabfall über die Restabfalltonne zugeführt werden.Flüssige Binderfarben geben Sie bitte an den Wertstoffhöfen der Region Hannover oder der Deponie Hannover im Sonderabfallzwischenlager ab.",
Laub,,"Wertstoffhof,Biotonne,Grüngutannahmestellen,Deponie","Bis zu 1m³ an Laub aus dem Privathaushalt, kann in einer Anlieferung pro Kalendertag kostenlos auf den Wertstoffhöfen oder Deponien entsorgt werden.Wenn gelegentlich mehr Laub zu entsorgen ist , kann es kostenpflichtig im Kompostwerk der Deponien angeliefert werden.Zwischen dem 15. Oktober und 15. Dezember können zusätzlich Laubsäcke gekauft und bereitgestellt werden. Einzelne Laubsäcke können auf den Deponien und Wertstoffhöfen erworben werden oder hier kostenpflichtig (Mindestabnahme 5 Stück) online bestellt werden. Wichtiger Hinweis: Laubsäcke werden nur in dem Zeitraum vom 15. Oktober bis 15. Dezember mit abgefahren. Bitte beachten Sie das die Bearbeitung einer Bestellung einige Tage in Anspruch nimmt. ",
Laminat,Sperrabfall,"Wertstoffhof,Sperrabfallabholung","Sperrabfall sind bewegliche Gegenstände aus Privathaushalten, die selbst nach einer zumutbaren Zerkleinerung auf Grund ihrer Sperrigkeit, ihres Gewichtes oder ihrer Materialbeschaffenheit nicht in die Restabfallbehälter und -zusatzsäcke passen, wie z. B. Tisch und Stühle, Sofas, Sessel, Polster, Bettgestelle aus Holz oder Kunststoff, Matratzen usw.5 m³ Sperrabfall können Sie kostenlos abholen lassen. Dabei sollten die Gegenstände eine Länge von 2 m und eine Gewicht von max. 75 kg nicht überschreiten. Bitte vereinbaren Sie einen Termin - online oder telefonisch.Wichtiger Hinweis: Glastische können nicht bei der Sperrabfallabfuhr mitgenommen werden. Bitte bringen Sie diese für die Entsorgung zu den Wertstoffhöfe oder Deponien.",
Lampe,Elektrogeräte,"Wertstoffhof,Deponie,Deponie Hannover Lahe","Abgabe von Elektrogeräten:Elektrogeräte können entweder kostenfrei selbst auf unseren Wertstoffhöfen angeliefert werden, hierbei ist zu beachten das Großgeräte mit einer Kantenlänge über 50 cm (bei Kühlschränken handelt es sich immer um Großgeräte) nur noch auf den Deponien in Hannover (Lahe), Burgdorf und Kolenfeld sowie auf den Wertstoffhöfen Schörlingstraße (Hannover), Bissendorf und Sehnde abgegeben werden können (max. 2 Großgeräte pro Tag).Elektro-Kleingeräte, Fernseher und Monitore können Sie weiterhin auf allen Wertstoffhöfen entsorgen.Alternativ können die Großgeräte gegen eine Gebühr von 23,00 € je Gerät vom Straßenrand zu einem Elektroschrott Termin abgefahren werden. Die Abfuhr erfolgt für haushaltsübliche Geräte bis ca. 75kgDie Bezahlung erfolgt über eine Wertmarke die Sie auf unseren Wertstoffhöfen oder Bürgerbüros erwerben können oder per Rechnung.Bitte stellen Sie das Gerät in kürzester Entfernung zum Fahrbahnrand bzw. zum nächstmöglichen Halteplatz des Entsorgungsfahrzeuges ab.Unser Handzettel für die Elektrogeräte  ",
Lametta,Restabfall,Restabfalltonne,"Lametta aus Kunststoff oder Aluminium gehört in den Restabfallbehälter. Früher wurde Lametta aus Blei hergestellt. Falls Sie Blei-Lametta entsorgen wollen, gehört es in die Sonderabfallsammlung. Bitte bringen Sie Blei-Lametta daher zum Sonderabfalllager der Deponie Lahe.Erst Abschmschücken, dann entsorgen: Bitte die Weihnachtsbäume, bevor sie in die Sammlung gegeben werden, vollständig vom Schmuck befreien.",
Lack,Sonderabfall,"Wertstoffhof,Deponie Hannover - Sonderabfallannahmestelle","Bis zu 30kg (Gesamtmenge/ haushaltsübliche Mengen) Ihrer gefährlichen Abfälle, können Sie täglich kostenlos auf allen Wertstoffhöfen abgeben. Auf den Wertstoffhöfen der Region werden Sonderabfälle in Gebinden bis zu einer Größe von max. 10 Litern entgegengenommen. Größere Mengen oder Gebinde können kostenpflichtig an der Sonderannahmestelle auf der Deponie Hannover Lahe abgeben. Gebinde über 10 Liter sind ebenfalls an der Deponie in Hannover anzuliefern.Bitte beachten Sie die Mengenbegrenzung der einzelnen Abfälle, auf der Preisliste für Sonderabfall.Bitte achten Sie bei dem Transport darauf, die Gebinde gut zu kennzeichnen und auf keinen Fall mit anderen Flüssigkeiten zu vermischen. Am sichersten transportieren Sie Sonderabfälle nur dicht verschlossen in den originalen Behältern (Gebinden) sowie aufrechtstehend (z.B. in einer Wanne, die Behälter aufrecht hält).Wichtig: Nutzen Sie bitte die Abgabezeiten für Gewerbekunden (Mo. bis Do. von 7.00 – 14.00 Uhr und Fr. von 7.00 – 12.00 Uhr), wenn Sie größere Mengen an Sonderabfällen abgeben wollen.",
Lachgas,,,"Komplett entleerte (Drucklose) Lachgaseinwegbehälter gelten als Verkaufsverpackung und sollen über die Leichtverpackungstonne entsorgt werden. Eine Kennzeichnung „leer“ mit einem Edding ist hilfreich. Leere Kapseln gehören zu den Einwegbehältern und können nur entweder voll oder leer sein, wenn diese aus dem „Portionierer“ entnommen werden. Volle, teilentleerte oder leere Lachgasflaschen (Mehrweg) und volle oder teilentleerte Lachgasbehälter (Einweg und Mehrweg möglich) sollen zum Händler retourniert werden. Teilweise wird im Handel ein Pfand erhoben.  ",
Streichhölzer,Restabfall,Restabfalltonne,"Nach dem Aussortieren von Wertstoffen (z.B. Papier oder Glas), Bio-, Bau- (z. B. Steine) und Sonderabfällen bleibt noch der so genannte Restabfall, der in die Restabfalltonne gehört, wie z. B. Asche, Essensreste, Brot- und Kuchenreste, Fleisch- und Fischreste, Glühlampen, Kehricht usw. übrig. Zur Grillzeit gehört Grillkohle (vollständig ausgeglüht), Schaschlikspieße, Streichhölzer, Feuerzeuge (wenn sie leer sind) und Servietten in die Restabfalltonne.Wenn gelegentlich mehr Abfall anfällt, können Sie beim Wertstoffhof oder online einen Zusatzsack kaufen. Stellen Sie diesen am Leerungstag einfach zu dem Restabfallbehälter - wir nehmen ihn mit.",
